timestamp,SC1,SC2,SC3,SC4,SC5,RC1,RC2,RC3,RC4,RC5,Bikes
2023-11-20 23:50:00,0,5,0,1,0,0,2,0,0,0,4
2023-11-20 23:40:00,0,3,0,3,0,0,8,0,0,0,1
2023-11-20 23:30:00,0,11,0,2,0,0,11,0,0,0,2
2023-11-20 23:20:00,0,19,0,1,0,0,6,0,0,0,3
2023-11-20 23:10:00,1,13,0,4,0,1,12,0,1,0,1
2023-11-20 23:00:00,1,8,0,7,0,0,11,0,2,0,2
2023-11-20 22:50:00,0,35,0,7,0,0,11,0,0,0,6
2023-11-20 22:40:00,1,23,0,4,0,0,15,0,0,0,1
2023-11-20 22:30:00,3,17,0,5,0,0,12,0,0,0,1
2023-11-20 22:20:00,1,21,0,6,0,0,18,0,0,1,3
2023-11-20 22:10:00,1,13,0,5,0,0,10,0,1,0,3
2023-11-20 22:00:00,0,19,0,7,0,0,7,0,1,0,5
2023-11-20 21:50:00,1,15,0,7,0,0,8,0,0,0,0
2023-11-20 21:40:00,0,13,0,2,3,0,14,0,1,0,3
2023-11-20 21:30:00,0,24,0,10,1,0,5,0,0,0,5
2023-11-20 21:20:00,3,26,0,7,0,1,14,0,0,0,5
2023-11-20 21:10:00,1,26,0,6,0,0,21,0,0,0,5
2023-11-20 21:00:00,0,19,0,14,0,0,13,0,1,0,1
2023-11-20 20:50:00,3,32,0,12,0,0,13,0,1,0,3
2023-11-20 20:40:00,2,26,0,9,0,0,15,0,3,0,6
2023-11-20 20:30:00,2,24,0,10,0,0,17,0,0,0,10
2023-11-20 20:20:00,0,33,0,7,0,0,20,0,0,0,3
2023-11-20 20:10:00,2,28,0,11,0,0,24,0,1,0,5
2023-11-20 20:00:00,1,34,0,10,0,0,20,0,2,0,7
2023-11-20 19:50:00,3,37,0,9,0,0,23,0,2,0,4
2023-11-20 19:40:00,1,45,0,15,0,0,27,0,5,0,9
2023-11-20 19:30:00,1,40,0,24,0,0,21,0,1,0,7
2023-11-20 19:20:00,2,44,0,22,0,1,17,0,1,0,8
2023-11-20 19:10:00,2,48,0,17,0,0,23,0,3,0,16
2023-11-20 19:00:00,4,41,0,22,1,0,23,0,1,0,13
2023-11-20 18:50:00,2,48,0,29,0,0,32,0,2,0,10
2023-11-20 18:40:00,2,51,0,24,0,0,26,0,1,1,8
2023-11-20 18:30:00,3,55,0,25,0,0,30,0,4,1,7
2023-11-20 18:20:00,2,56,0,34,0,0,25,0,5,0,7
2023-11-20 18:10:00,4,72,0,25,0,0,39,0,1,1,9
2023-11-20 18:00:00,5,71,0,32,1,0,42,0,1,0,12
2023-11-20 17:50:00,7,72,0,20,1,0,37,0,2,0,14
2023-11-20 17:40:00,7,69,0,27,1,0,31,0,0,0,13
2023-11-20 17:30:00,5,83,0,30,0,0,31,0,1,0,15
2023-11-20 17:20:00,6,84,1,39,0,0,34,0,2,1,16
2023-11-20 17:10:00,6,63,0,31,1,0,44,0,3,0,10
2023-11-20 17:00:00,1,83,0,29,0,0,42,0,3,1,17
2023-11-20 16:50:00,8,77,0,32,0,0,39,1,1,0,10
2023-11-20 16:40:00,5,75,0,32,0,0,45,0,2,0,12
2023-11-20 16:30:00,4,96,2,28,0,0,37,0,1,1,9
2023-11-20 16:20:00,7,84,0,28,0,0,44,0,2,1,13
2023-11-20 16:10:00,4,80,0,36,0,0,30,0,2,3,7
2023-11-20 16:00:00,3,76,2,40,2,0,35,0,3,2,18
2023-11-20 15:50:00,0,77,0,30,0,0,36,0,3,0,10
2023-11-20 15:40:00,3,82,0,41,4,0,34,1,4,0,6
2023-11-20 15:30:00,3,72,0,38,0,0,38,0,5,1,9
2023-11-20 15:20:00,4,91,0,29,0,0,35,0,4,0,9
2023-11-20 15:10:00,2,84,0,38,0,0,41,0,3,0,6
2023-11-20 15:00:00,0,68,0,25,1,0,38,0,5,0,7
2023-11-20 14:50:00,2,77,0,23,0,0,32,0,4,0,9
2023-11-20 14:40:00,3,76,0,31,0,0,40,0,6,0,4
2023-11-20 14:30:00,3,88,0,27,0,0,41,0,4,0,8
2023-11-20 14:20:00,5,48,0,26,1,0,38,0,6,0,6
2023-11-20 14:10:00,5,73,0,26,0,0,35,0,3,2,6
2023-11-20 14:00:00,7,70,0,47,3,0,34,0,3,0,5
2023-11-20 13:50:00,3,64,2,34,0,0,39,0,3,0,6
2023-11-20 13:40:00,3,62,0,37,0,0,33,0,2,0,6
2023-11-20 13:30:00,2,66,0,26,0,0,32,0,7,1,4
2023-11-20 13:20:00,3,77,0,29,0,0,35,0,8,0,8
2023-11-20 13:10:00,1,66,1,29,0,0,34,0,2,0,8
2023-11-20 13:00:00,5,69,0,29,0,0,31,0,3,0,5
2023-11-20 12:50:00,5,50,2,13,0,0,27,0,2,0,6
2023-11-20 12:40:00,2,61,0,25,0,0,41,0,4,0,4
2023-11-20 12:30:00,8,66,0,39,0,0,30,0,4,0,9
2023-11-20 12:20:00,4,56,0,28,0,0,28,0,3,0,8
2023-11-20 12:10:00,4,41,0,34,0,0,22,0,0,0,8
2023-11-20 12:00:00,6,66,0,25,0,0,31,0,1,0,8
2023-11-20 11:50:00,6,66,0,25,0,0,31,0,1,0,8
2023-11-20 11:40:00,6,58,0,25,0,0,37,2,3,0,1
2023-11-20 11:30:00,4,83,0,25,0,0,28,0,1,0,10
2023-11-20 11:20:00,4,83,0,25,0,0,28,0,1,0,10
2023-11-20 11:10:00,2,60,0,35,0,0,28,0,5,0,10
2023-11-20 11:00:00,4,63,0,44,0,0,37,0,4,0,13
2023-11-20 10:50:00,6,74,0,41,0,0,38,0,3,1,13
2023-11-20 10:40:00,2,57,0,40,0,0,26,0,3,6,7
2023-11-20 10:30:00,3,64,1,36,2,0,26,0,8,0,9
2023-11-20 10:20:00,3,64,1,36,2,0,26,0,8,0,9
2023-11-20 10:10:00,2,66,1,45,1,0,30,0,3,1,9
2023-11-20 10:00:00,4,66,1,34,0,0,38,0,0,0,9
2023-11-20 09:50:00,4,66,1,34,0,0,38,0,0,0,9
2023-11-20 09:40:00,4,60,0,37,1,0,25,0,6,0,12
2023-11-20 09:30:00,4,60,0,37,1,0,25,0,6,0,12
2023-11-20 09:20:00,1,74,0,38,1,0,24,0,10,0,10
2023-11-20 09:10:00,0,106,0,58,0,0,42,0,6,0,17
2023-11-20 08:00:00,8,93,0,46,0,0,53,0,9,0,19
2023-11-20 07:40:00,6,89,0,38,0,1,45,0,4,0,16
2023-11-20 07:30:00,6,89,0,38,0,1,45,0,4,0,16
2023-11-20 06:30:00,1,48,0,12,0,0,26,0,1,2,0
2023-11-20 06:20:00,0,29,0,18,0,0,10,0,1,0,5
2023-11-20 06:10:00,1,22,1,14,1,0,24,0,4,0,6
2023-11-20 05:50:00,0,27,0,16,0,0,25,0,2,0,3
2023-11-20 04:40:00,0,2,0,0,0,0,1,0,0,0,0
2023-11-20 04:30:00,0,7,0,3,0,0,3,0,0,0,2
2023-11-20 04:20:00,0,8,0,3,0,0,5,0,2,0,1
2023-11-20 04:10:00,0,1,0,3,0,0,1,0,0,0,0
2023-11-20 03:00:00,0,2,0,2,1,0,1,0,1,0,0
2023-11-20 02:40:00,0,2,0,3,0,0,1,0,0,0,0
2023-11-20 02:30:00,1,5,0,0,0,0,2,0,1,0,1
2023-11-20 02:20:00,0,3,0,0,0,0,2,0,0,0,1
2023-11-20 01:20:00,0,2,0,3,0,0,1,0,0,0,0
2023-11-20 01:10:00,0,3,0,1,0,0,1,0,0,0,1
2023-11-20 01:00:00,0,3,0,1,0,0,3,0,0,0,2
2023-11-20 00:50:00,0,3,0,0,0,0,5,0,0,0,2